iter	Logloss
0	0.6051068576
1	0.5436484859
2	0.5017263305
3	0.4726393358
4	0.4503464609
5	0.4342646329
6	0.4230618027
7	0.4123577622
8	0.4029173941
9	0.3975809925
10	0.3905508293
11	0.3866226628
12	0.3824303825
13	0.3794898267
14	0.3776634504
15	0.375114081
16	0.3729153399
17	0.3703419667
18	0.3689306727
19	0.3678010905
20	0.3664753032
21	0.3650255743
22	0.3639823986
23	0.362751367
24	0.3614681892
25	0.3606725729
26	0.3594583475
27	0.3584487483
28	0.3572156294
29	0.3565454303
30	0.355978264
31	0.3554789705
32	0.3548109666
33	0.3536906692
34	0.3528052996
